2017-03-10 01:35:39 status half-configured sed:armhf 4.2.2-4
2017-03-10 01:35:39 status unpacked sed:armhf 4.2.2-4
2017-03-10 01:35:39 status half-installed sed:armhf 4.2.2-4
2017-03-10 01:35:41 status triggers-pending install-info:armhf 5.2.0.dfsg.1-6
2017-03-10 01:35:42 status half-installed sed:armhf 4.2.2-4
2017-03-10 01:35:42 status unpacked sed:armhf 4.2.2-4+deb8u1
2017-03-10 01:35:42 status unpacked sed:armhf 4.2.2-4+deb8u1
2017-03-10 01:35:42 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:35:42 status half-configured man-db:armhf 2.7.0.2-5
2017-03-10 01:36:15 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:36:15 trigproc install-info:armhf 5.2.0.dfsg.1-6 <none>
2017-03-10 01:36:15 status half-configured install-info:armhf 5.2.0.dfsg.1-6
2017-03-10 01:36:17 status installed install-info:armhf 5.2.0.dfsg.1-6
2017-03-10 01:36:20 startup packages configure
2017-03-10 01:36:20 configure sed:armhf 4.2.2-4+deb8u1 <none>
2017-03-10 01:36:20 status unpacked sed:armhf 4.2.2-4+deb8u1
2017-03-10 01:36:21 status half-configured sed:armhf 4.2.2-4+deb8u1
2017-03-10 01:36:21 status installed sed:armhf 4.2.2-4+deb8u1
2017-03-10 01:36:23 startup archives unpack
2017-03-10 01:36:26 upgrade libapt-pkg4.12:armhf 1.0.9.8.1 1.0.9.8.4
2017-03-10 01:36:26 status half-configured libapt-pkg4.12:armhf 1.0.9.8.1
2017-03-10 01:36:26 status unpacked libapt-pkg4.12:armhf 1.0.9.8.1
2017-03-10 01:36:27 status half-installed libapt-pkg4.12:armhf 1.0.9.8.1
2017-03-10 01:37:11 status half-installed libapt-pkg4.12:armhf 1.0.9.8.1
2017-03-10 01:37:12 status unpacked libapt-pkg4.12:armhf 1.0.9.8.4
2017-03-10 01:37:12 status unpacked libapt-pkg4.12:armhf 1.0.9.8.4
2017-03-10 01:37:16 startup packages configure
2017-03-10 01:37:16 configure libapt-pkg4.12:armhf 1.0.9.8.4 <none>
2017-03-10 01:37:16 status unpacked libapt-pkg4.12:armhf 1.0.9.8.4
2017-03-10 01:37:31 status half-configured libapt-pkg4.12:armhf 1.0.9.8.4
2017-03-10 01:37:34 status installed libapt-pkg4.12:armhf 1.0.9.8.4
2017-03-10 01:37:34 status triggers-pending libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:37:34 trigproc libc-bin:armhf 2.19-18+deb8u7 <none>
2017-03-10 01:37:34 status half-configured libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:37:35 status installed libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:37:40 startup archives unpack
2017-03-10 01:37:42 upgrade gpgv:armhf 1.4.18-7 1.4.18-7+deb8u3
2017-03-10 01:37:42 status half-configured gpgv:armhf 1.4.18-7
2017-03-10 01:37:42 status unpacked gpgv:armhf 1.4.18-7
2017-03-10 01:37:42 status half-installed gpgv:armhf 1.4.18-7
2017-03-10 01:37:42 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:37:43 status half-installed gpgv:armhf 1.4.18-7
2017-03-10 01:37:46 status unpacked gpgv:armhf 1.4.18-7+deb8u3
2017-03-10 01:37:46 status unpacked gpgv:armhf 1.4.18-7+deb8u3
2017-03-10 01:37:46 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:37:46 status half-configured man-db:armhf 2.7.0.2-5
2017-03-10 01:37:52 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:37:55 startup packages configure
2017-03-10 01:37:55 configure gpgv:armhf 1.4.18-7+deb8u3 <none>
2017-03-10 01:37:55 status unpacked gpgv:armhf 1.4.18-7+deb8u3
2017-03-10 01:37:55 status half-configured gpgv:armhf 1.4.18-7+deb8u3
2017-03-10 01:37:55 status installed gpgv:armhf 1.4.18-7+deb8u3
2017-03-10 01:37:58 startup archives unpack
2017-03-10 01:38:01 upgrade gnupg:armhf 1.4.18-7 1.4.18-7+deb8u3
2017-03-10 01:38:01 status half-configured gnupg:armhf 1.4.18-7
2017-03-10 01:38:01 status unpacked gnupg:armhf 1.4.18-7
2017-03-10 01:38:01 status half-installed gnupg:armhf 1.4.18-7
2017-03-10 01:38:04 status triggers-pending install-info:armhf 5.2.0.dfsg.1-6
2017-03-10 01:38:32 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:38:40 status half-installed gnupg:armhf 1.4.18-7
2017-03-10 01:38:40 status unpacked gnupg:armhf 1.4.18-7+deb8u3
2017-03-10 01:38:40 status unpacked gnupg:armhf 1.4.18-7+deb8u3
2017-03-10 01:38:40 trigproc install-info:armhf 5.2.0.dfsg.1-6 <none>
2017-03-10 01:38:40 status half-configured install-info:armhf 5.2.0.dfsg.1-6
2017-03-10 01:38:42 status installed install-info:armhf 5.2.0.dfsg.1-6
2017-03-10 01:38:42 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:38:42 status half-configured man-db:armhf 2.7.0.2-5
2017-03-10 01:38:46 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:38:48 startup packages configure
2017-03-10 01:38:48 configure gnupg:armhf 1.4.18-7+deb8u3 <none>
2017-03-10 01:38:48 status unpacked gnupg:armhf 1.4.18-7+deb8u3
2017-03-10 01:38:48 status half-configured gnupg:armhf 1.4.18-7+deb8u3
2017-03-10 01:38:48 status installed gnupg:armhf 1.4.18-7+deb8u3
2017-03-10 01:38:50 startup archives unpack
2017-03-10 01:38:52 upgrade apt:armhf 1.0.9.8.1 1.0.9.8.4
2017-03-10 01:38:52 status half-configured apt:armhf 1.0.9.8.1
2017-03-10 01:38:52 status unpacked apt:armhf 1.0.9.8.1
2017-03-10 01:38:52 status half-installed apt:armhf 1.0.9.8.1
2017-03-10 01:39:47 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:39:49 status half-installed apt:armhf 1.0.9.8.1
2017-03-10 01:39:49 status unpacked apt:armhf 1.0.9.8.4
2017-03-10 01:39:50 status unpacked apt:armhf 1.0.9.8.4
